,TEAM_ABBREVIATION_h,OFF_RATING_h,DEF_RATING_h,NET_RATING_h,AST_PCT_h,AST_TOV_h,OREB_PCT_h,DREB_PCT_h,REB_PCT_h,TM_TOV_PCT_h,EFG_PCT_h,TS_PCT_h,PACE_h,POSS_h,HOME_TEAM_h,TEAM_ABBREVIATION_a,OFF_RATING_a,DEF_RATING_a,NET_RATING_a,AST_PCT_a,AST_TOV_a,OREB_PCT_a,DREB_PCT_a,REB_PCT_a,TM_TOV_PCT_a,EFG_PCT_a,TS_PCT_a,PACE_a,POSS_a,HOME_TEAM_a,ATL_h,BKN_h,BOS_h,CHA_h,CHI_h,CLE_h,DAL_h,DEN_h,DET_h,GSW_h,HOU_h,IND_h,LAC_h,LAL_h,MEM_h,MIA_h,MIL_h,MIN_h,NOP_h,NYK_h,OKC_h,ORL_h,PHI_h,PHX_h,POR_h,SAC_h,SAS_h,TOR_h,UTA_h,WAS_h,ATL_a,BKN_a,BOS_a,CHA_a,CHI_a,CLE_a,DAL_a,DEN_a,DET_a,GSW_a,HOU_a,IND_a,LAC_a,LAL_a,MEM_a,MIA_a,MIL_a,MIN_a,NOP_a,NYK_a,OKC_a,ORL_a,PHI_a,PHX_a,POR_a,SAC_a,SAS_a,TOR_a,UTA_a,WAS_a
0,CHA,0.3964110929853182,0.5783308931185946,0.4103410341034103,0.06616257088846889,0.018399264029438825,0.6868008948545861,0.3831967213114754,0.45121951219512213,0.7148936170212766,0.3089622641509434,0.3969465648854964,0.35087719298245634,0.20454545454545436,0.0,WAS,0.5783308931185946,0.3964110929853182,0.5896589658965897,0.596928982725528,0.24287652645861596,0.6168032786885246,0.3125,0.5487804878048781,0.3416666666666667,0.4661016949152543,0.4510385756676556,0.35087719298245634,0.27272727272727293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,CLE,0.19249592169657426,0.5153733528550513,0.31903190319031904,0.449905482041588,0.04415823367065319,0.5771812080536913,0.5573770491803279,0.47865853658536617,0.6978723404255318,0.24764150943396224,0.27735368956743,0.4035087719298245,0.2500000000000002,0.0,PHI,0.5153733528550513,0.19249592169657426,0.680968096809681,0.46449136276391556,0.19810040705563092,0.4426229508196721,0.4218750000000002,0.521341463414634,0.2958333333333333,0.42372881355932224,0.4480712166172105,0.4035087719298245,0.2954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MIA,0.39314845024469824,0.3499267935578332,0.5797579757975797,0.7315689981096407,0.10303587856485741,0.5391498881431767,0.41188524590163944,0.33536585365853666,0.5574468085106382,0.34905660377358483,0.3944020356234097,0.6842105263157894,0.4318181818181819,0.0,HOU,0.3499267935578332,0.39314845024469824,0.4202420242024203,0.6257197696737045,0.06105834464043419,0.5881147540983606,0.4598214285714286,0.6646341463414636,0.8083333333333332,0.4378531073446328,0.4094955489614245,0.6842105263157894,0.4772727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEN,0.3964110929853182,0.44655929721815535,0.5093509350935093,0.4120982986767485,0.10303587856485741,0.5480984340044742,0.5225409836065574,0.4207317073170733,0.44680851063829785,0.36556603773584906,0.361323155216285,0.3157894736842106,0.20454545454545436,0.0,PHX,0.44655929721815535,0.3964110929853182,0.4906490649064907,0.7312859884836853,0.15739484396200815,0.4774590163934425,0.450892857142857,0.5792682926829269,0.44166666666666665,0.3305084745762712,0.4065281899109794,0.3157894736842106,0.22727272727272707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DET,0.19249592169657426,0.5285505124450953,0.3102310231023102,0.7429111531190926,0.10119595216191354,0.3646532438478747,0.49795081967213106,0.2500000000000002,0.5531914893617021,0.2806603773584905,0.2926208651399491,0.45614035087719307,0.29545454545454564,0.0,OKC,0.5285505124450953,0.19249592169657426,0.6897689768976898,0.42802303262955865,0.09362279511533242,0.5020491803278688,0.6339285714285716,0.7500000000000002,0.625,0.6101694915254237,0.5548961424332344,0.45614035087719307,0.31818181818181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ORL,0.303425774877651,0.33674963396778934,0.5291529152915291,0.7561436672967863,0.0735970561177553,0.41834451901565994,0.600409836065574,0.5243902439024393,0.7829787234042552,0.4363207547169813,0.47837150127226447,0.5614035087719298,0.36363636363636354,0.0,MEM,0.33674963396778934,0.303425774877651,0.4708470847084709,0.3474088291746642,0.11261872455902305,0.3995901639344262,0.5803571428571428,0.4756097560975612,0.3583333333333333,0.192090395480226,0.25222551928783377,0.5614035087719298,0.38636363636363624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CHI,0.569331158238173,0.3089311859443633,0.7293729372937293,0.5482041587901703,0.13799448022079117,0.697986577181208,0.6536885245901641,0.6951219512195124,0.5276595744680851,0.5235849056603773,0.5216284987277353,0.5964912280701755,0.38636363636363646,0.0,MIL,0.3089311859443633,0.569331158238173,0.2706270627062707,0.6583493282149715,0.15739484396200815,0.34631147540983603,0.3013392857142858,0.30487804878048785,0.39583333333333337,0.2994350282485876,0.27893175074183985,0.5964912280701755,0.40909090909090917,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,UTA,0.20880913539967372,0.4070278184480236,0.41254125412541254,0.47258979206049156,0.0800367985280589,0.6510067114093959,0.6516393442622953,0.5152439024390247,0.5702127659574467,0.2382075471698114,0.18829516539440205,0.5964912280701755,0.38636363636363646,0.0,SAS,0.4070278184480236,0.20880913539967372,0.5874587458745875,0.45681381957773515,0.10583446404341926,0.3483606557377049,0.3482142857142858,0.4847560975609755,0.5125000000000001,0.44350282485875714,0.4391691394658752,0.5964912280701755,0.40909090909090917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,GSW,0.7145187601957586,0.2942898975109811,0.8382838283828382,0.6540642722117203,0.15271389144434225,0.7539149888143177,0.3750000000000001,0.49390243902439046,0.5106382978723404,0.5400943396226413,0.5801526717557253,0.4385964912280702,0.29545454545454564,0.0,POR,0.2942898975109811,0.7145187601957586,0.16171617161716179,0.4414587332053743,0.05020352781546811,0.625,0.2455357142857142,0.5060975609756098,0.5916666666666667,0.1271186440677965,0.21958456973293772,0.4385964912280702,0.2954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,CLE,0.25611745513866246,0.2796486090775989,0.5401540154015401,0.7561436672967863,0.13891444342226314,0.4272930648769575,0.4159836065573771,0.29268292682926855,0.49787234042553186,0.31132075471698106,0.2824427480916032,0.5087719298245617,0.34090909090909105,0.0,ATL,0.2796486090775989,0.25611745513866246,0.4598459845984599,0.44913627639155473,0.05020352781546811,0.5840163934426229,0.5714285714285714,0.7073170731707319,0.5333333333333333,0.0734463276836157,0.19287833827893164,0.5087719298245617,0.34090909090909083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
